start_time,end_time,wav_file,text,emotion,speaker
6.2901,8.2357,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F000.wav,Excuse me.,2,Ses01F_impro01_F
7.5712,10.475,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M000.wav,Do you have your forms?,5,Ses01F_impro01_M
10.01,11.3925,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F001.wav,Yeah.,2,Ses01F_impro01_F
10.9266,14.6649,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M001.wav,Let me see them.,5,Ses01F_impro01_M
14.8872,18.0175,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F002.wav,Is there a problem?,2,Ses01F_impro01_F
16.8352,19.7175,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M002.wav,Who told you to get in this line?,5,Ses01F_impro01_M
23.47,28.03,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M003.wav,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,5,Ses01F_impro01_M
27.46,31.49,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F005.wav,Well what's the problem?  Let me change it.,2,Ses01F_impro01_F
28.395,31.2117,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M004.wav,This form is a Z.X.four.,5,Ses01F_impro01_M
31.266,39.3875,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M005.wav,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",5,Ses01F_impro01_M
38.965,43.59,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F006.wav,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,5,Ses01F_impro01_F
41.23,46.98,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M006.wav,No. I need another set of ID to prove this is actually you.,5,Ses01F_impro01_M
46.58,52.19,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F007.wav,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,5,Ses01F_impro01_F
51.4,57.64,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M007.wav,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,5,Ses01F_impro01_M
